2025-04-09 02:39:39,247 p=42009 u=root n=ansible | Encryption successful
2025-04-09 03:09:28,825 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:28,857 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:28,889 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:28,906 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:28,928 p=45049 u=root n=ansible | TASK [splunk : Ensure init.d file is really gone] ****************************************************************************************************
2025-04-09 03:09:28,964 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:28,998 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:29,031 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:29,048 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:29,070 p=45049 u=root n=ansible | TASK [Enable splunk boot-start via initd] ************************************************************************************************************
2025-04-09 03:09:29,139 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:29,170 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:29,172 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:29,191 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:29,216 p=45049 u=root n=ansible | TASK [Enable splunk boot-start via systemd] **********************************************************************************************************
2025-04-09 03:09:29,960 p=45049 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:09:29,962 p=45049 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:09:30,043 p=45049 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:09:30,046 p=45049 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:09:30,066 p=45049 u=root n=ansible | TASK [splunk : Update systemd file] ******************************************************************************************************************
2025-04-09 03:09:30,281 p=45049 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/configure_systemd.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 03:09:30,324 p=45049 u=root n=ansible | TASK [splunk : Update the systemd file for Splunk] ***************************************************************************************************
2025-04-09 03:09:30,397 p=45049 u=root n=ansible | skipping: [rh8-ds-1] => (item={'option': 'LimitNOFILE', 'value': '1024000'}) 
2025-04-09 03:09:30,399 p=45049 u=root n=ansible | skipping: [rh8-ds-1] => (item={'option': 'LimitNPROC', 'value': '512000'}) 
2025-04-09 03:09:30,400 p=45049 u=root n=ansible | skipping: [rh8-ds-1] => (item={'option': 'LimitFSIZE', 'value': 'infinity'}) 
2025-04-09 03:09:30,401 p=45049 u=root n=ansible | skipping: [rh8-ds-1] => (item={'option': 'LimitDATA', 'value': 'infinity'}) 
2025-04-09 03:09:30,402 p=45049 u=root n=ansible | skipping: [rh8-sh-1] => (item={'option': 'LimitNOFILE', 'value': '1024000'}) 
2025-04-09 03:09:30,403 p=45049 u=root n=ansible | skipping: [rh8-ds-1] => (item={'option': 'LimitCORE', 'value': 'infinity'}) 
2025-04-09 03:09:30,404 p=45049 u=root n=ansible | skipping: [rh8-sh-1] => (item={'option': 'LimitNPROC', 'value': '512000'}) 
2025-04-09 03:09:30,441 p=45049 u=root n=ansible | skipping: [rh8-ds-1] => (item={'option': 'TasksMax', 'value': 'infinity'}) 
2025-04-09 03:09:30,445 p=45049 u=root n=ansible | skipping: [rh8-sh-1] => (item={'option': 'LimitFSIZE', 'value': 'infinity'}) 
2025-04-09 03:09:30,446 p=45049 u=root n=ansible | skipping: [rh8-sh-1] => (item={'option': 'LimitDATA', 'value': 'infinity'}) 
2025-04-09 03:09:30,447 p=45049 u=root n=ansible | skipping: [rh8-idx-1] => (item={'option': 'LimitNOFILE', 'value': '1024000'}) 
2025-04-09 03:09:30,447 p=45049 u=root n=ansible | skipping: [rh8-sh-1] => (item={'option': 'LimitCORE', 'value': 'infinity'}) 
2025-04-09 03:09:30,448 p=45049 u=root n=ansible | skipping: [rh8-idx-1] => (item={'option': 'LimitNPROC', 'value': '512000'}) 
2025-04-09 03:09:30,449 p=45049 u=root n=ansible | skipping: [rh8-sh-1] => (item={'option': 'TasksMax', 'value': 'infinity'}) 
2025-04-09 03:09:30,452 p=45049 u=root n=ansible | skipping: [rh8-idx-1] => (item={'option': 'LimitFSIZE', 'value': 'infinity'}) 
2025-04-09 03:09:30,454 p=45049 u=root n=ansible | skipping: [rh8-idx-1] => (item={'option': 'LimitDATA', 'value': 'infinity'}) 
2025-04-09 03:09:30,465 p=45049 u=root n=ansible | skipping: [rh8-idx-1] => (item={'option': 'LimitCORE', 'value': 'infinity'}) 
2025-04-09 03:09:30,466 p=45049 u=root n=ansible | skipping: [rh8-idx-2] => (item={'option': 'LimitNOFILE', 'value': '1024000'}) 
2025-04-09 03:09:30,473 p=45049 u=root n=ansible | skipping: [rh8-idx-1] => (item={'option': 'TasksMax', 'value': 'infinity'}) 
2025-04-09 03:09:30,478 p=45049 u=root n=ansible | skipping: [rh8-idx-2] => (item={'option': 'LimitNPROC', 'value': '512000'}) 
2025-04-09 03:09:30,486 p=45049 u=root n=ansible | skipping: [rh8-idx-2] => (item={'option': 'LimitFSIZE', 'value': 'infinity'}) 
2025-04-09 03:09:30,497 p=45049 u=root n=ansible | skipping: [rh8-idx-2] => (item={'option': 'LimitDATA', 'value': 'infinity'}) 
2025-04-09 03:09:30,507 p=45049 u=root n=ansible | skipping: [rh8-idx-2] => (item={'option': 'LimitCORE', 'value': 'infinity'}) 
2025-04-09 03:09:30,517 p=45049 u=root n=ansible | skipping: [rh8-idx-2] => (item={'option': 'TasksMax', 'value': 'infinity'}) 
2025-04-09 03:09:30,540 p=45049 u=root n=ansible | TASK [splunk : Create systemd service.d directory] ***************************************************************************************************
2025-04-09 03:09:30,964 p=45049 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:09:30,980 p=45049 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:09:30,981 p=45049 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:09:30,981 p=45049 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:09:31,002 p=45049 u=root n=ansible | TASK [splunk : Copy service drop-in] *****************************************************************************************************************
2025-04-09 03:09:31,978 p=45049 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:09:32,002 p=45049 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:09:32,055 p=45049 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:09:32,081 p=45049 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:09:32,103 p=45049 u=root n=ansible | TASK [splunk : Include post-install tasks] ***********************************************************************************************************
2025-04-09 03:09:32,301 p=45049 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/post_install.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 03:09:32,484 p=45049 u=root n=ansible | TASK [splunk : Touch .ui_login file to disable first-time login prompt] ******************************************************************************
2025-04-09 03:09:32,856 p=45049 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:09:32,859 p=45049 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:09:32,901 p=45049 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:09:32,940 p=45049 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:09:32,964 p=45049 u=root n=ansible | TASK [Ensure correct ownership for /opt/splunk/etc] **************************************************************************************************
2025-04-09 03:09:34,478 p=45049 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:09:34,482 p=45049 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:09:34,547 p=45049 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:09:34,589 p=45049 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:09:34,610 p=45049 u=root n=ansible | TASK [splunk : Configure cron job to cleanup crash logs older than 7 days] ***************************************************************************
2025-04-09 03:09:34,648 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:34,680 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:34,712 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:34,721 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:34,743 p=45049 u=root n=ansible | TASK [splunk : Configure cron job to cleanup diags older than 30 days] *******************************************************************************
2025-04-09 03:09:34,779 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:34,810 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:34,843 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:34,853 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:34,876 p=45049 u=root n=ansible | TASK [splunk : Install pstack shell script for troubleshooting purposes] *****************************************************************************
2025-04-09 03:09:34,912 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:34,943 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:34,974 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:34,984 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:35,006 p=45049 u=root n=ansible | TASK [splunk : Install additional utilities and troubleshooting tools] *******************************************************************************
2025-04-09 03:09:35,044 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:35,076 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:35,108 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:35,116 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:35,138 p=45049 u=root n=ansible | TASK [splunk : Configure license] ********************************************************************************************************************
2025-04-09 03:09:35,359 p=45049 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/configure_license.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 03:09:35,465 p=45049 u=root n=ansible | TASK [Run splunk version command to check currently installed version] *******************************************************************************
2025-04-09 03:09:35,658 p=45049 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/check_splunk_version.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 03:09:35,690 p=45049 u=root n=ansible | TASK [Run splunk version command to check currently installed version] *******************************************************************************
2025-04-09 03:09:36,039 p=45049 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:09:36,059 p=45049 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:09:36,103 p=45049 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:09:36,142 p=45049 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:09:36,164 p=45049 u=root n=ansible | TASK [splunk : Get Splunk version number only] *******************************************************************************************************
2025-04-09 03:09:36,234 p=45049 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:09:36,266 p=45049 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:09:36,268 p=45049 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:09:36,289 p=45049 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:09:36,311 p=45049 u=root n=ansible | TASK [splunk : Setting licensing mode based on Splunk version number] ********************************************************************************
2025-04-09 03:09:36,392 p=45049 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:09:36,425 p=45049 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:09:36,458 p=45049 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:09:36,480 p=45049 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:09:36,502 p=45049 u=root n=ansible | TASK [splunk : Create license/enterprise directory] **************************************************************************************************
2025-04-09 03:09:36,569 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:36,606 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:36,607 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:36,628 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:36,649 p=45049 u=root n=ansible | TASK [splunk : Copy license file] ********************************************************************************************************************
2025-04-09 03:09:36,780 p=45049 u=root n=ansible | TASK [splunk : Remove license manager uri when using local license] **********************************************************************************
2025-04-09 03:09:37,127 p=45049 u=root n=ansible | ok: [rh8-ds-1] => (item=manager_uri)
2025-04-09 03:09:37,141 p=45049 u=root n=ansible | ok: [rh8-sh-1] => (item=manager_uri)
2025-04-09 03:09:37,188 p=45049 u=root n=ansible | ok: [rh8-idx-1] => (item=manager_uri)
2025-04-09 03:09:37,226 p=45049 u=root n=ansible | ok: [rh8-idx-2] => (item=manager_uri)
2025-04-09 03:09:37,436 p=45049 u=root n=ansible | ok: [rh8-ds-1] => (item=master_uri)
2025-04-09 03:09:37,439 p=45049 u=root n=ansible | ok: [rh8-sh-1] => (item=master_uri)
2025-04-09 03:09:37,495 p=45049 u=root n=ansible | ok: [rh8-idx-1] => (item=master_uri)
2025-04-09 03:09:37,536 p=45049 u=root n=ansible | ok: [rh8-idx-2] => (item=master_uri)
2025-04-09 03:09:37,559 p=45049 u=root n=ansible | TASK [splunk : Configure License Group] **************************************************************************************************************
2025-04-09 03:09:37,890 p=45049 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:09:37,909 p=45049 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:09:37,960 p=45049 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:09:37,982 p=45049 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:09:38,007 p=45049 u=root n=ansible | TASK [splunk : Set license manager_uri] **************************************************************************************************************
2025-04-09 03:09:38,074 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:38,107 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:38,108 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:38,123 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:38,145 p=45049 u=root n=ansible | TASK [splunk : Extract encrypted value] **************************************************************************************************************
2025-04-09 03:09:38,185 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:38,217 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:38,249 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:38,265 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:38,287 p=45049 u=root n=ansible | TASK [splunk : Set pass4SymmKey to match LM] *********************************************************************************************************
2025-04-09 03:09:38,323 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:38,354 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:38,388 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:38,405 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:38,428 p=45049 u=root n=ansible | TASK [splunk : Configure Auditd] *********************************************************************************************************************
2025-04-09 03:09:38,465 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:38,495 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:38,526 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:38,534 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:38,556 p=45049 u=root n=ansible | TASK [Run splunk version command to check currently installed version] *******************************************************************************
2025-04-09 03:09:38,595 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:38,628 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:38,661 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:38,677 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:38,700 p=45049 u=root n=ansible | TASK [splunk : Checkpoint: Version] ******************************************************************************************************************
2025-04-09 03:09:38,736 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:38,768 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:38,804 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:38,822 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:38,844 p=45049 u=root n=ansible | TASK [splunk : Checkpoint: Package] ******************************************************************************************************************
2025-04-09 03:09:38,880 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:38,913 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:38,944 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:38,960 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:38,983 p=45049 u=root n=ansible | TASK [splunk : Check if Splunk needs to be stopped if we are not at the expected version] ************************************************************
2025-04-09 03:09:39,022 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:39,056 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:39,089 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:39,105 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:39,128 p=45049 u=root n=ansible | TASK [Stop Splunk if not at expected version and splunk is currently running] ************************************************************************
2025-04-09 03:09:39,164 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:39,196 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:39,263 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:39,279 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:39,302 p=45049 u=root n=ansible | TASK [splunk : Upgrade Splunk if not at expected version] ********************************************************************************************
2025-04-09 03:09:39,340 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:39,372 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:39,405 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:39,421 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:39,422 p=45049 u=root n=ansible | RUNNING HANDLER [splunk : reload systemctl daemon] ***************************************************************************************************
2025-04-09 03:09:40,539 p=45049 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:09:40,555 p=45049 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:09:40,560 p=45049 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:09:40,563 p=45049 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:09:40,564 p=45049 u=root n=ansible | RUNNING HANDLER [start splunk] ***********************************************************************************************************************
2025-04-09 03:09:41,143 p=45049 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:09:41,197 p=45049 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:09:41,233 p=45049 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:09:41,283 p=45049 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:09:41,285 p=45049 u=root n=ansible | RUNNING HANDLER [restart splunk] *********************************************************************************************************************
2025-04-09 03:09:41,404 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:41,405 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:41,406 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:41,420 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:41,421 p=45049 u=root n=ansible | RUNNING HANDLER [splunk : restart redhat auditd service] *********************************************************************************************
2025-04-09 03:09:43,133 p=45049 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 03:09:43,157 p=45049 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 03:09:43,160 p=45049 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 03:09:43,162 p=45049 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 03:09:43,162 p=45049 u=root n=ansible | RUNNING HANDLER [splunk : restart non-redhat auditd service] *****************************************************************************************
2025-04-09 03:09:43,282 p=45049 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:09:43,283 p=45049 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:09:43,284 p=45049 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:09:43,298 p=45049 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:09:43,301 p=45049 u=root n=ansible | PLAY RECAP *******************************************************************************************************************************************
2025-04-09 03:09:43,302 p=45049 u=root n=ansible | rh8-ds-1                   : ok=56   changed=18   unreachable=0    failed=0    skipped=51   rescued=0    ignored=0   
2025-04-09 03:09:43,302 p=45049 u=root n=ansible | rh8-idx-1                  : ok=55   changed=18   unreachable=0    failed=0    skipped=51   rescued=0    ignored=0   
2025-04-09 03:09:43,302 p=45049 u=root n=ansible | rh8-idx-2                  : ok=55   changed=18   unreachable=0    failed=0    skipped=51   rescued=0    ignored=0   
2025-04-09 03:09:43,303 p=45049 u=root n=ansible | rh8-sh-1                   : ok=55   changed=18   unreachable=0    failed=0    skipped=51   rescued=0    ignored=0   
2025-04-09 03:13:08,213 p=47510 u=root n=ansible | PLAY [Remove Splunk Installation Playbook] ***********************************************************************************************************
2025-04-09 03:13:08,250 p=47510 u=root n=ansible | TASK [Warning 1: This will completely remove Splunk from the target systems.] ************************************************************************
2025-04-09 03:13:08,270 p=47519 u=root n=ansible | [Warning 1: This will completely remove Splunk from the target systems.]
WARNING 1: Are you sure you want to proceed? (yes/no):
2025-04-09 03:13:37,944 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:37,964 p=47510 u=root n=ansible | TASK [Warning 2: All Splunk data and configurations will be deleted.] ********************************************************************************
2025-04-09 03:13:37,983 p=47607 u=root n=ansible | [Warning 2: All Splunk data and configurations will be deleted.]
WARNING 2: Do you understand the implications? (yes/no):
2025-04-09 03:13:38,175 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:38,196 p=47510 u=root n=ansible | TASK [Warning 3: This action is irreversible. Proceed with caution.] *********************************************************************************
2025-04-09 03:13:38,215 p=47609 u=root n=ansible | [Warning 3: This action is irreversible. Proceed with caution.]
WARNING 3: Confirm to continue with the uninstallation. (yes/no):
2025-04-09 03:13:38,353 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:38,382 p=47510 u=root n=ansible | TASK [Remove Splunk] *********************************************************************************************************************************
2025-04-09 03:13:38,696 p=47510 u=root n=ansible | TASK [splunk : Include prerequisites] ****************************************************************************************************************
2025-04-09 03:13:38,903 p=47510 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/prereqs.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 03:13:38,933 p=47510 u=root n=ansible | TASK [splunk : install acl package] ******************************************************************************************************************
2025-04-09 03:13:51,162 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:13:51,647 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:13:51,697 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:13:53,818 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:53,839 p=47510 u=root n=ansible | TASK [Reset value of start_splunk_handler_fired and configure_boot_start] ****************************************************************************
2025-04-09 03:13:53,875 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:53,905 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:13:53,936 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:13:53,951 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:13:53,971 p=47510 u=root n=ansible | TASK [splunk : Set boot-start method to systemd] *****************************************************************************************************
2025-04-09 03:13:54,039 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:54,071 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:13:54,086 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:13:54,118 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:13:54,138 p=47510 u=root n=ansible | TASK [splunk : Set boot-start method to initd] *******************************************************************************************************
2025-04-09 03:13:54,172 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:13:54,201 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:13:54,233 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:13:54,241 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:13:54,286 p=47510 u=root n=ansible | TASK [splunk : Configure vars for full package] ******************************************************************************************************
2025-04-09 03:13:54,384 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:54,387 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:13:54,409 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:13:54,441 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:13:54,462 p=47510 u=root n=ansible | TASK [Configure var for splunk systemd service handler] **********************************************************************************************
2025-04-09 03:13:54,528 p=47510 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 03:13:54,561 p=47510 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 03:13:54,581 p=47510 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 03:13:54,613 p=47510 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 03:13:54,635 p=47510 u=root n=ansible | TASK [splunk : Configure vars for uf package] ********************************************************************************************************
2025-04-09 03:13:54,699 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:13:54,734 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:13:54,743 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:13:54,777 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:13:54,798 p=47510 u=root n=ansible | TASK [splunk : Setting least priviledged mode] *******************************************************************************************************
2025-04-09 03:13:54,864 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:13:54,896 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:13:54,909 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:13:54,941 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:13:54,963 p=47510 u=root n=ansible | TASK [Configure var for splunkforwarder systemd service handler] *************************************************************************************
2025-04-09 03:13:55,030 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 03:13:55,062 p=47510 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 03:13:55,074 p=47510 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 03:13:55,103 p=47510 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 03:13:55,124 p=47510 u=root n=ansible | TASK [Configure var for splunk init.d service handler] ***********************************************************************************************
2025-04-09 03:13:55,194 p=47510 u=root n=ansible | skipping: [rh8-ds-1]
